brand_name,url,category,positioning_id,positioning_name,in_line,use_cases,adjectives,visual_design_notes,product_traits,why_in_or_out,lane
LMNT,https://drinklmnt.com/,Hydration/Electrolyte Drink Mixes,1,Functional protein drink,pending,"Used for hydration, electrolyte replenishment, and supporting active or low-carb lifestyles.","zero-sugar, science-backed, clean, flavorful, dietary-friendly","Packaging uses bold, block colors with minimalist fonts and a modern aesthetic; emphasizes 'no sugar' clearly.","High sodium content, no added sugar or artificial ingredients, multiple flavors, keto/paleo/vegan friendly.","IN: Strong fit in hydration/electrolyte mix category, but currently no protein-based offerings to match a functional protein drink positioning.",specialized hydration/electrolyte mixes
NOCCO,https://nocco.com/,BCAA/Energy Drink,1,Functional protein drink,pending,"Pre/post workout energy, focus enhancement, dietary supplement, hydration support.","functional, sugar-free, carbonated, flavorful, energizing, low-calorie, vitamin-enriched","Bright, colorful cans with bold branding and clean, modern typography.","BCAA-fortified, vitamin-enriched, sugar-free, low-calorie, caffeine options, various flavors, carbonated.",Included as a leading international BCAA and energy drink brand relevant to fitness and functional beverage categories.,Functional protein drink/energy drink
PROTOCHOL,https://protocholbeverage.com/,Protein & Alcohol,1,Functional protein drink,pending,"Consumed as a post-workout beverage, party drink, or social occasion refreshment for fitness enthusiasts.","innovative, functional, bold, active, novelty","Cans feature bold, athletic-themed branding with bright colors representing each flavor.","8% ABV, 11g protein, non-carbonated, three flavors, marketed to active lifestyles.","Included as the leading U.S. spiked protein drink brand, directly aligned with the 'functional protein drink' focus.",Functional Alcoholic Beverages
VITAMIN WELL,https://www.vitaminwell.com/,Functional hydration,1,Functional protein drink,pending,"Used for daily hydration, athletic performance, and vitamin/mineral supplementation.","functional, non-carbonated, vitamin-enriched, low-calorie, refreshing","Minimalist, bold typography, clear PET bottles with colorful labels corresponding to flavors.","Non-carbonated, low or zero sugar, enriched with vitamins and minerals, no protein content.",In: Core competitor in functional hydration but not in functional protein drinks.,Functional hydration drinks
BLOOM,https://bloomnu.com/products/bloom-pop?variant=46836799897700,Prebiotic Soda,2,Lifestyle upgrade,pending,"Daily beverage for gut health support, flavorful low-calorie alternative to traditional soda.","flavorful, low-calorie, prebiotic, refreshing, natural, colorful, healthy","Bright, playful packaging with pastel colors and fruit imagery highlighting flavor variety.","3-4g sugar, 20 calories per can, uses PreticX™ prebiotic, real fruit juice, organic cane sugar, and stevia.",In: Sets strong precedent for wellness-oriented prebiotic sodas focused on gut health and lifestyle.,Functional Soda
EVER TREE,https://www.everleafdrinks.com/,Non-alcoholic Aperitif / Soft Drinks,2,Lifestyle upgrade,pending,"Ideal for sophisticated non-alcoholic cocktails, aperitif moments, or social gatherings.","botanical, complex, earthy, vibrant, sustainable, aromatic, refreshing","Packaging emphasizes natural imagery, botanical illustrations, and a sophisticated color palette reflecting each product variant (Forest, Mountain, Marine).","Non-alcoholic, sustainably sourced botanicals, three flavor profiles, crafted for mixing with tonic, nature-inspired.",In: Directly competes in non-alcoholic aperitif lane with an emphasis on sophistication and natural ingredients.,Non-alcoholic Aperitif
OLIPOP,https://drinkolipop.com/,Prebiotic Soda,2,Lifestyle upgrade,pending,Suitable for health-conscious consumers seeking a flavorful soda alternative that supports digestive health.,"healthy, flavorful, plant-based, low-sugar, prebiotic, vegan, non-GMO, gluten-free","Bright, colorful cans with retro-inspired graphics and typography that emphasize freshness and nostalgia.","Contains plant-based fiber, prebiotics, low sugar content, vegan, gluten-free, non-GMO, various classic soda flavors.",In: Direct competitor in the prebiotic/lifestyle soda space with strong health and branding focus.,Prebiotic & Functional Soda
Poppi,https://drinkpoppi.com/,Prebiotic Soda,2,Lifestyle upgrade,pending,"Enjoyed as a flavorful, healthier soft drink alternative for those seeking digestive support and wellness.","modern, vibrant, health-conscious, fun, trendy","Bright, colorful cans with playful typography and lively fruit imagery.","Contains prebiotics and apple cider vinegar, low sugar, low calorie, multiple flavors.",Relevant as a leader in the prebiotic soda space with strong market presence and lifestyle positioning.,Lifestyle upgrade
Kin Euphorics,https://kineuphorics.com/,Non-Alcoholic Functional Beverages,3,Better social drink,pending,"Non-alcoholic socializing, mood enhancement, daytime energy, evening relaxation.","functional, mood-boosting, botanical, trendy, wellness-focused","Modern, minimalist packaging with earthy tones and elegant fonts.","Contains adaptogens, nootropics, and botanicals; divided into Rise (energy/focus) and Rest (relaxation) lines.","In: Direct competitor in the functional, non-alcoholic social drink space with wellness and mood-enhancing positioning.",Functional Social Drinks
Lyre's,https://lyres.com/,Non-alcoholic Spirits / Mocktails,3,Better social drink,pending,Ideal for social occasions and mixing classic cocktails without alcohol.,"innovative, authentic, sophisticated, inclusive, versatile","Brand uses elegant, vintage-inspired labels with illustrations of the lyrebird and premium glass packaging.","Alcohol-free, replicates classic spirit flavors, uses natural essences, enables cocktail creation.",In: Leading brand with broad range and global presence in non-alcoholic spirits.,Better social drink
Yaya Kombucha,https://yayakombucha.com/,Organic Kombucha Beverages,,pending,pending,"Enjoyed as a healthy, refreshing craft soda alternative for daily consumption or as a low-calorie drink option.","organic, refreshing, innovative, artisanal, natural, low-calorie, European","Branding features clean, minimalistic design with vibrant pops of color reflecting natural ingredients and craft ethos.","Certified organic, non-alcoholic, wild fermented, real ingredients, low sugar, no artificial additives.",Relevant as a direct competitor in the premium organic kombucha space with unique flavors and strong craft positioning.,Premium Organic Kombucha
Walker Brothers,https://drinkwalkerbrothers.com/,Kombucha and Botanical Sodas,,pending,pending,"Used as an alcohol alternative, functional refreshment, or wellness beverage.","sustainable, innovative, craft, botanical, minimalist, community-focused","Minimalist branding with a bridge symbol logo, emphasizing connectivity and simplicity.","Craft-brewed, organic ingredients, non-alcoholic and alcoholic options, eco-friendly packaging, unique flavors.",Relevant due to strong sustainability focus and innovative positioning within both kombucha and botanical soda categories.,"Craft, sustainable, and functional beverage challenger"
Alive & Well,https://aliveandwellkombucha.com/,Kombucha,2,Lifestyle upgrade,pending,"Enjoyed as a health-conscious beverage, alternative to alcohol or soda, and daily gut health support.","approachable, balanced, flavorful, refreshing, health-focused","Branding emphasizes natural colors, wellness, and modern fonts for an inviting, lifestyle-focused look.","Softer bubbles, smooth balanced taste, less acidic, made with functional ingredients and unique flavors.",In: It embodies kombucha's intersection of wellness and lifestyle aspiration through differentiated taste and approachable branding.,Lifestyle upgrade
Recess,https://takearecess.com,Infused sparkling water,2,Lifestyle upgrade,pending,"Daily stress relief, mood enhancement, alcohol alternative, wellness-focused hydration.","calm, cool, relaxing, functional, trendy, wellness-focused","Modern, playful minimalism with pastel colors and clean package design.","Infused with adaptogens, magnesium, and hemp extract; sparkling; sugar-free or low sugar; non-alcoholic.",Strongly in: Directly targets wellness and mental clarity; highly relevant to functional beverage trends.,"Functional, wellness-infused sparkling water; alcohol alternative."
Ole cocktails,https://olecocktails.com/,Ready-to-Drink Cocktails and Mocktails,2,Lifestyle upgrade,pending,"Casual gatherings, parties, outdoor events, and occasions where premium convenience is desired.","premium, convenient, authentic, flavorful, vibrant, refreshing","Bright colors, modern typography, and fruit imagery emphasizing a celebratory, upscale vibe.","Tequila-based, real fruit juices, agave nectar, no artificial ingredients, ~5.2% ABV, options for cocktails and mocktails.","In because they deliver a lifestyle upgrade with premium, versatile ready-to-drink beverages.","Lifestyle upgrade, premium convenience"
Ish,https://ishspirits.com/,Non-alcoholic Wineries/Spirits/Mocktails,2,Lifestyle upgrade,pending,"Alcohol-free socializing, mindful drinking, celebrations without intoxication.","premium, authentic, innovative, natural, award-winning","Minimalist Scandinavian design with clear, elegant labeling and modern color accents.","Non-alcoholic, natural ingredients, sophisticated flavor profiles, ready-to-drink, varied alcohol-free portfolio.","Included for its authenticity and leading position in premium non-alcoholic spirits and cocktails, directly matching the lifestyle upgrade positioning.",Lifestyle Upgrade
more fiz,https://service.morenutrition.de/hc/en-us/articles/40222048023185-More-Fizi,functional soda,2,Lifestyle upgrade,pending,"For a healthier daily soda experience that also supports digestion, ideal with or after meals.","sugar-free, fiber-enriched, vegan, refreshing, healthy, natural-sweetened","Bright, vibrant can colors matching fruit flavors, modern design, health-forward imagery.","10g plant-based fiber per can, sugar-free, uses monk fruit and stevia, vegan, lactose-free, gluten-free, multiple fruit flavors.","In scope for its direct competition in healthy, functional sodas targeting lifestyle upgrades.","functional soda, health-focused"
Rekorderlig,https://www.rekorderlig.com/,Premium Fruit Cider,3,Better social drink,pending,"Ideal for social gatherings, summer events, and casual drinking with friends.","refreshing, fruity, sophisticated, balanced, premium, Swedish","Clean, modern branding with vivid fruit imagery and Scandinavian-inspired minimalist labels.","Fruit-forward flavors, made with spring water, variety of options including Strawberry-Lime and Wild Berries, sustainability focused.",In—well-established premium cider aligned with better social drinking occasions and fruit-forward profile.,Premium Fruit Cider
Royal Club Mocktails,https://www.royalclub.nl/mocktails/,Non-alcoholic Mocktails,3,Better social drink,pending,"Social gatherings, parties, or casual refreshment for adults avoiding alcohol or sugar.","sophisticated, refreshing, adult, flavorful, sugar-free, non-alcoholic","Elegant and modern packaging, often transparent bottles highlighting drink colors, with bold typography and cocktail-inspired imagery.","Zero sugar, non-alcoholic, cocktail-inspired flavors (Gin Tonic, Mojito, Ginger Mule), targeted at adult consumers.",Included for direct relevance to premium non-alcoholic mocktail competition with a strong presence in the Dutch and European markets.,Better social drink
Royal Club Ginger Ale,https://www.royalclub.nl,Ginger Ale / Mixer,3,Better social drink,pending,Used as a refreshing standalone soft drink or as a mixer in cocktails.,"balanced, sweet, bitter, distinctive, adult-oriented","Features classic branding with sophisticated typography and a gold-crowned logo, emphasizing its premium positioning.","Carbonated, sweet-bitter, natural ginger flavor, available in cans and bottles, moderate calorie content.","In—well-known ginger ale in the Dutch and mixer markets, aligning with adult social drinking occasions.",Premium adult-focused mixers and soft drinks
Juuz,https://juuz.de/,Functional protein drink,1,Functional protein drink,pending,"Used as a refreshing, high-protein, sugar-free beverage alternative to protein shakes.","refreshing, protein-rich, sugar-free, lactose-free, carbonated, fruity","Clean, modern cans with bold color coding for each flavor and prominent protein content labeling.","15g BLG protein per can, 9 essential amino acids, zero sugar, 66 kcal, lactose-free, carbonated lemonade flavors.","In because it directly fits the functional protein drink category with unique carbonated, lemonade-style flavors.",Functional RTD protein beverage
On The Rocks Cocktails,https://www.otrcocktails.com/,Ready-to-drink Canned Cocktails,3,Better social drink,pending,"Ideal for social gatherings, parties, and convenient at-home cocktail experiences.","premium, natural, convenient, accessible, classic, innovative","Packaging is modern and clean with vibrant colors to distinguish flavors; emphasizes high-quality, bar-inspired aesthetics.",Crafted with natural ingredients and high-quality spirits; offers both classic and innovative cocktail flavors in bottled and canned forms.,"In: They define the standard for premium ready-to-drink cocktails, directly relevant to the RTD canned cocktails space.","Bar-quality, premium, convenient RTD cocktails"
