brand_name,url,category,positioning_id,positioning_name,in_line,use_cases,adjectives,visual_design_notes,product_traits,why_in_or_out,lane
HOLY,https://holy.com/,Functional & Vitamin Drinks,1,Functional protein drink,pending,"Daily functional enhancement, energy boost, hydration, and dietary protein supplementation.","vitamin-enriched, light, health",simple design highlighting vitamin content. | cell color: light green,Vitamin-enriched drinks focusing on health.,Provides vitamins in a functional layout supporting health benefits.,Vitamin Drink
LMNT,https://drinklmnt.com/,Hydration/Electrolyte Drink Mixes,1,Functional protein drink,pending,"Used for hydration, electrolyte replenishment during exercise, supporting low-carb, paleo, and keto dietary regimens.","functional, electrolytes, hydrate","clinical, straightforward packaging highlighting electrolytes. | cell color: light green",Contains electrolytes and targets hydration.,Fits as a functional beverage targeting hydration needs directly.,Hydration
NOCCO,https://nocco.com/,BCAA/Energy Drink,1,Functional protein drink,pending,"Used before, during, or after exercise for energy, focus, and muscle recovery.","energy, BCAA, sports",bold and sporty with focus on energy and BCAA benefits. | cell color: light green,BCAA energy drink for sports and recovery.,Aims to support athletic performance with BCAA and energy nutrients.,BCAA/Energy
PROTOCHOL,,Protein & Alcohol,1,Functional protein drink,pending,Appeals to fitness enthusiasts seeking a post-workout social drink that provides both protein and alcohol.,"protein, alcohol fusion, innovative",light blue packaging emphasizing its protein content and niche fusion of alcohol and protein. | cell color: light blue,Contains protein with a combination of alcohol for a unique drink.,Innovative approach combining protein with social drinking aspects.,Protein & Alcohol
VITAMIN WELL,https://www.vitaminwell.com/,Functional hydration,1,Functional protein drink,pending,"Daily hydration, replenishing vitamins and minerals, sports rehydration.","vitamin-enriched, functional, hydrating",clean and clear labeling focusing on vitamin content. | cell color: light green,Vitamin-enriched hydration for health and function.,Provides functional hydration through vitamin-enriched drinks.,Hydration
BLOOM,https://bloomnu.com/products/bloom-pop?variant=46836799897700,Prebiotic Soda,2,Lifestyle upgrade,pending,Consumed as a healthier soda replacement to support gut health and metabolism.,"prebiotic, lively, vibrant","bright, playful packaging with a focus on probiotics. | cell color: bright pink",Prebiotic drink with lively flavors and wellness focus.,"Integrates prebiotic benefits with a fun lifestyle branding, appealing to health-conscious consumers.",Prebiotic
EVER TREE,https://www.everleafdrinks.com/,Non-alcoholic Aperitif / Soft Drinks,2,Lifestyle upgrade,pending,"Premium alcohol-free cocktails, social occasions, lifestyle upgrade, mindful drinking.","refreshing, natural, subtle",minimalist and elegant design focusing on natural ingredients. | cell color: light pink,Soft drink with a health and natural focus.,Encourages healthier everyday choices with a refreshingly natural taste.,Soft Drinks
OLIPOP,https://drinkolipop.com/,Prebiotic Soda,2,Lifestyle upgrade,pending,"Consumed as a healthier alternative to traditional sodas, supporting digestive health and appealing to health-conscious consumers.","prebiotic, soft, health-focused","soft, friendly branding with health focus. | cell color: pastel pink",Prebiotic soda promoting gut health.,Targets wellness with a prebiotic-focused drink that fits lifestyle aspirations.,Prebiotic
Poppi,https://drinkpoppi.com/,Prebiotic Soda,2,Lifestyle upgrade,pending,"Daily beverage for gut health and immune support, appealing to health-conscious consumers.","prebiotic, refreshing, health","vibrant, lively packaging with wellness appeal. | cell color: pastel pink",Gut health and wellness drink brand in prebiotic soda category.,Appeals to health-conscious consumers looking for a refreshing lifestyle beverage.,Prebiotic
Kin Euphorics,https://kineuphorics.com/,Social Drinks/Mocktails,3,Better social drink,pending,"Used as a non-alcoholic alternative for socializing, supporting energy in the day and relaxation at night.","euphoric, social, experience","fancy, trendy, experiential design aimed at mood enhancement. | cell color: light blue",Functional blend of mood-enhancing and social experiences.,"Blends social appeal with mood-enhancing functionalities, ideal for gatherings.",Social Drinks/Mocktails
