Dimension,Functional protein drink,Lifestyle upgrade,Better social drink
Core problem,“I struggle to hit my protein target.”,“I want something healthy and refreshing that feels like a treat.”,“I want a better drink option when I am out.”
Core purpose,Help people reach protein goals conveniently,Help people make healthier everyday choices,Replace alcohol or boring soft drinks in social settings
Main customer mindset,"Disciplined, routine driven, gym oriented","Wellness focused, identity driven, wants health without effort","Social, aesthetic, experiential"
Main value proposition,Protein without heaviness,Wellness without sacrifice,Social ritual without alcohol
Product role,Functional nutrition tool,Lifestyle accessory or habit,Social experience
Consumption context,"Mostly alone, routine based",Everyday lifestyle moments,Group and social settings
Typical moments,"After gym, between meals, at work, post run","Brunch, coworking, beach, afternoon refreshment","Bars, dinners, festivals, dates, rooftop events"
Emotional driver,"Optimization, discipline, efficiency","Balance, wellness, self image","Pleasure, belonging, experience"
Competes against,"Protein shakes, bars, sports drinks","Kombucha, iced tea, healthy drinks, snacks","Cocktails, beer, wine, mocktails"
Buying logic,Rational: “Is this useful?”,Semi emotional: “This fits my lifestyle.”,Emotional and social: “This feels exciting.”
Importance of nutrition,Very high,Medium,Low
Importance of taste,High,Very high,Extremely high
Importance of branding,Medium,High,Extremely high
Pricing power,Medium,Medium to high,High
Typical price range,"Retail €3 to €5, cafés €4 to €6",€4 to €7,€6 to €10 plus in hospitality
Best early channels,"Gyms, wellness studios, healthy cafés","Specialty cafés, coworking spaces, wellness retail","Bars, restaurants, hotels, festivals"
Main risk,Commoditization,Becoming vague or generic,Protein feels strange in a social context
What success looks like,“I drink this 4 times per week.”,“This brand feels like me.”,“I order this when I go out.”
Fit with current idea,Strong,Strong,"Moderate, but useful as inspiration"
Sweetness level,Medium -High,Low to moderate,Moderate to high
,,,
,,,
Design concept,"clean, ","minimal, pastel, ","fun, premium packaging, vibrant, festival vibe, fruity"
